law;definition;formula;area;source
Первый закон Ньютона;Тело сохраняет состояние покоя или равномерного прямолинейного движения, пока воздействие других тел не заставит его изменить это состояние;\[-\];Механика;db
Второй закон Ньютона;Ускорение тела прямо пропорционально равнодействующей приложенных сил и обратно пропорционально его массе;\[\vec{F} = m\vec{a}\];Механика;db
Закон всемирного тяготения;Сила гравитационного притяжения между двумя телами пропорциональна произведению их масс и обратно пропорциональна квадрату расстояния между ними;\[F = G\frac{m_1 m_2}{r^2}\];Механика;db
Закон Гука;Сила упругости пропорциональна деформации и направлена противоположно ей;\[F = -kx\];Механика;db
Первый закон термодинамики;Изменение внутренней энергии системы равно сумме количества теплоты, переданной системе, и работы, совершенной над системой;\[\Delta U = Q + W\];Термодинамика;db
Второй закон термодинамики;Невозможно создать вечный двигатель второго рода;\[\oint \frac{\delta Q}{T} \leq 0\];Термодинамика;db
Закон Ома;Сила тока на участке цепи прямо пропорциональна напряжению и обратно пропорциональна сопротивлению;\[I = \frac{U}{R}\];Электричество;db
Закон Кулона;Сила взаимодействия двух точечных зарядов пропорциональна их величинам и обратно пропорциональна квадрату расстояния между ними;\[F = \frac{1}{4\pi\varepsilon_0}\frac{|q_1 q_2|}{r^2}\];Электродинамика;db
Закон Ампера;Сила взаимодействия двух параллельных проводников с током пропорциональна произведению сил токов и обратно пропорциональна расстоянию между ними;\[\frac{F}{L} = \frac{\mu_0 I_1 I_2}{2\pi d}\];Электродинамика;db
Уравнение Шрёдингера;Фундаментальное уравнение квантовой механики, описывающее эволюцию волновой функции;\[i\hbar\frac{\partial}{\partial t}\Psi = \hat{H}\Psi\];Квантовая физика;db
Принцип относительности;Законы физики одинаковы во всех инерциальных системах отсчёта;\[-\];Релятивистская механика;db
Соотношение неопределённостей;Невозможно одновременно точно измерить координату и импульс частицы;\[\Delta x \Delta p \geq \frac{\hbar}{2}\];Квантовая физика;db
Закон Стефана-Больцмана;Энергетическая светимость абсолютно чёрного тела пропорциональна четвёртой степени температуры;\[j^* = \sigma T^4\];Термодинамика;db
Закон смещения Вина;Длина волны максимального излучения обратно пропорциональна температуре тела;\[\lambda_{max} = \frac{b}{T}\];Квантовая физика;db
